"times","lu.from","lu.to","value"
"2010","Forest","OtherLand",0
"2010","Forest","Cropland",549.632105917825
"2010","Forest","Pasture",1200.41463162566
"2010","Forest","Urban",8.95009432127789
"2010","Forest","Plantations",0
"2010","OtherLand","Forest",148.576591376796
"2010","OtherLand","Cropland",3536.82735758155
"2010","OtherLand","Pasture",7731.95927588857
"2010","OtherLand","Urban",56.9167844496162
"2010","OtherLand","Plantations",481.42383333333
"2010","Cropland","Forest",35.2954410110501
"2010","Cropland","OtherLand",61.2126999444154
"2010","Cropland","Pasture",0
"2010","Cropland","Urban",0
"2010","Cropland","Plantations",0
"2010","Pasture","Forest",123.078061933435
"2010","Pasture","OtherLand",144.280675881964
"2010","Pasture","Cropland",0
"2010","Pasture","Urban",0
"2010","Pasture","Plantations",0
"2010","Urban","Forest",0
"2010","Urban","OtherLand",0
"2010","Urban","Cropland",0
"2010","Urban","Pasture",0
"2010","Urban","Plantations",0
"2010","Plantations","Forest",0
"2010","Plantations","OtherLand",0
"2010","Plantations","Cropland",0
"2010","Plantations","Pasture",0
"2010","Plantations","Urban",0
"2020","Forest","OtherLand",0
"2020","Forest","Cropland",711.255681651875
"2020","Forest","Pasture",1633.80103174461
"2020","Forest","Urban",10.2763918560535
"2020","Forest","Plantations",0
"2020","OtherLand","Forest",0
"2020","OtherLand","Cropland",4512.74190650214
"2020","OtherLand","Pasture",10374.9467609934
"2020","OtherLand","Urban",65.3511749926765
"2020","OtherLand","Plantations",486.33886111111
"2020","Cropland","Forest",0
"2020","Cropland","OtherLand",13.2198125593495
"2020","Cropland","Pasture",0
"2020","Cropland","Urban",0
"2020","Cropland","Plantations",0
"2020","Pasture","Forest",0
"2020","Pasture","OtherLand",37.059453984999
"2020","Pasture","Cropland",0
"2020","Pasture","Urban",0
"2020","Pasture","Plantations",0
"2020","Urban","Forest",0
"2020","Urban","OtherLand",0
"2020","Urban","Cropland",0
"2020","Urban","Pasture",0
"2020","Urban","Plantations",0
"2020","Plantations","Forest",0
"2020","Plantations","OtherLand",0
"2020","Plantations","Cropland",0
"2020","Plantations","Pasture",0
"2020","Plantations","Urban",0
"2030","Forest","OtherLand",0
"2030","Forest","Cropland",889.651431198732
"2030","Forest","Pasture",1319.74907080369
"2030","Forest","Urban",11.7992309118017
"2030","Forest","Plantations",0
"2030","OtherLand","Forest",0
"2030","OtherLand","Cropland",5636.43644935149
"2030","OtherLand","Pasture",8361.34437649441
"2030","OtherLand","Urban",75.0354419038549
"2030","OtherLand","Plantations",481.42383333333
"2030","Cropland","Forest",0
"2030","Cropland","OtherLand",13.7997499328412
"2030","Cropland","Pasture",0
"2030","Cropland","Urban",0
"2030","Cropland","Plantations",0
"2030","Pasture","Forest",0
"2030","Pasture","OtherLand",20.4641411055927
"2030","Pasture","Cropland",0
"2030","Pasture","Urban",0
"2030","Pasture","Plantations",0
"2030","Urban","Forest",0
"2030","Urban","OtherLand",0
"2030","Urban","Cropland",0
"2030","Urban","Pasture",0
"2030","Urban","Plantations",0
"2030","Plantations","Forest",0
"2030","Plantations","OtherLand",0
"2030","Plantations","Cropland",0
"2030","Plantations","Pasture",0
"2030","Plantations","Urban",0
"2040","Forest","OtherLand",0
"2040","Forest","Cropland",885.896393979846
"2040","Forest","Pasture",1204.2880545913
"2040","Forest","Urban",13.5477366044587
"2040","Forest","Plantations",0
"2040","OtherLand","Forest",0
"2040","OtherLand","Cropland",5611.43989295301
"2040","OtherLand","Pasture",7628.20429516493
"2040","OtherLand","Urban",86.1548019961042
"2040","OtherLand","Plantations",481.42383333333
"2040","Cropland","Forest",0
"2040","Cropland","OtherLand",19.9990347523999
"2040","Cropland","Pasture",0
"2040","Cropland","Urban",0
"2040","Cropland","Plantations",0
"2040","Pasture","Forest",0
"2040","Pasture","OtherLand",27.1327220708772
"2040","Pasture","Cropland",0
"2040","Pasture","Urban",0
"2040","Pasture","Plantations",0
"2040","Urban","Forest",0
"2040","Urban","OtherLand",0
"2040","Urban","Cropland",0
"2040","Urban","Pasture",0
"2040","Urban","Plantations",0
"2040","Plantations","Forest",0
"2040","Plantations","OtherLand",0
"2040","Plantations","Cropland",0
"2040","Plantations","Pasture",0
"2040","Plantations","Urban",0
"2050","Forest","OtherLand",0
"2050","Forest","Cropland",886.46899834147
"2050","Forest","Pasture",1211.93852937417
"2050","Forest","Urban",15.5553500457568
"2050","Forest","Plantations",0
"2050","OtherLand","Forest",0
"2050","OtherLand","Cropland",5618.78967116925
"2050","OtherLand","Pasture",7681.90975422384
"2050","OtherLand","Urban",98.921919011269
"2050","OtherLand","Plantations",481.42383333333
"2050","Cropland","Forest",0
"2050","Cropland","OtherLand",29.770494912329
"2050","Cropland","Pasture",0
"2050","Cropland","Urban",0
"2050","Cropland","Plantations",0
"2050","Pasture","Forest",0
"2050","Pasture","OtherLand",40.897789330309
"2050","Pasture","Cropland",0
"2050","Pasture","Urban",0
"2050","Pasture","Plantations",0
"2050","Urban","Forest",0
"2050","Urban","OtherLand",0
"2050","Urban","Cropland",0
"2050","Urban","Pasture",0
"2050","Urban","Plantations",0
"2050","Plantations","Forest",0
"2050","Plantations","OtherLand",0
"2050","Plantations","Cropland",0
"2050","Plantations","Pasture",0
"2050","Plantations","Urban",0
